datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170114|00105153114|191938|0|1|20
6050|20170114|00105153114|191938|0||1
6050|20170114|00105153116|191938|0|1|20
6050|20170114|00105153116|191938|0||1
6050|20170114|00105150986|2652992|0|.8|20
6050|20170114|00105150986|2652992|0||1
6050|20170114|00105150986|2303772|0|.2|21
6050|20170114|00105153632|2587325|0|1|20
6050|20170114|00105150090|2539884|0|1|20
6050|20170114|00105150090|2539884|0||1
6050|20170114|00105150976|2652992|0|.8|20
6050|20170114|00105150976|2652992|0||1
6050|20170114|00105150976|2303772|0|.2|21
6050|20170114|00105143336|2667520|0|1|20
6050|20170114|00105143336|2667520|0||1
6050|20170114|00105136607|2567681|0|1|20
6050|20170114|00105136607|2567681|0||1
6050|20170114|00105148587|2580220|0|1|20
6050|20170114|00105148587|2580220|0||1
6050|20170114|00105136728|2346923|0|1|20
6050|20170114|00105136728|2346923|0||1
6050|20170114|00105126286|2344060|0|1|20
6050|20170114|00105126286|2344060|0||1
6050|20170114|00105122099|2517063|0|1|20
6050|20170114|00105122099|2517063|0||1
6050|20170114|00105153059|2661461|0|.5|20
6050|20170114|00105153059|2661461|0||1
6050|20170114|00105153059|2223394|0|.5|21
6050|20170114|00105153550|2517354|0|1|20
6050|20170114|00105153550|2517354|0||1
6050|20170114|00105136149|2517284|0||1
6050|20170114|00105136149|2517284|0|1|20
6050|20170114|00105132037|2346923|0|1|20
6050|20170114|00105132037|2346923|0||1
6050|20170114|00105151157|2583376|0|1|20
6050|20170114|00105151157|2188476|0||1
6050|20170114|00105151373|111962|0|1|20
6050|20170114|00105151373|111962|0||1
6050|20170114|00105153504|1085401|0|1|20
6050|20170114|00105153504|1085401|0||1
6050|20170114|00105150880|2239435|0|1|20
6050|20170114|00105150880|2239435|0||1
6050|20170114|00105151368|111962|0|1|20
6050|20170114|00105151368|111962|0||1
6050|20170114|00105151951|2346923|0||1
6050|20170114|00105151951|2346923|0|1|20
6050|20170114|00105126671|2664567|0|1|20
6050|20170114|00105126671|2664567|0||1
6050|20170114|00105123854|2346923|0|1|20
6050|20170114|00105123854|2346923|0||1
6050|20170114|00105145894|2309076|0|1|20
6050|20170114|00105145894|2309076|0||1
6050|20170114|00105142797|2346923|0|1|20
6050|20170114|00105142797|2346923|0||1
6050|20170114|00105149450|2615272|0|1|20
6050|20170114|00105149450|2615272|0||1
6050|20170114|00105142940|2322322|0|1|20
6050|20170114|00105142940|2322322|0||1
6050|20170114|00105147671|2322322|0|1|20
6050|20170114|00105147671|2322322|0||1
6050|20170114|00105150585|2346923|0|1|20
6050|20170114|00105150585|2346923|0||1
6050|20170114|00105147670|2322322|0|1|20
6050|20170114|00105147670|2322322|0||1
6050|20170114|00105151225|893210|0|1|20
6050|20170114|00105151225|893210|0||1
6050|20170114|00105148890|2346923|0|1|20
6050|20170114|00105148890|2346923|0||1
6050|20170114|00105144127|2516748|0|1|20
6050|20170114|00105144127|2516748|0||1
6050|20170114|00105152294|577764|0|1|20
6050|20170114|00105152294|577764|0||1
6050|20170114|00105152337|577764|0|1|20
6050|20170114|00105152337|577764|0||1
6050|20170114|00105152935|2601861|0|1|20
6050|20170114|00105152935|2601861|0||1
6050|20170114|00105127242|2516748|0|1|20
6050|20170114|00105127242|2516748|0||1
6050|20170114|00105123176|2549440|0|1|20
6050|20170114|00105123176|2549440|0||1
6050|20170114|00105122251|2516748|0|1|20
6050|20170114|00105122251|2516748|0||1
6050|20170114|00105149963|2312334|0|1|20
6050|20170114|00105149963|2312334|0||1
6050|20170114|00105149962|2312334|0|1|20
6050|20170114|00105149962|2312334|0||1
6050|20170114|00105150005|2254974|0|1|20
6050|20170114|00105150005|2254974|0||1
6050|20170114|00105150016|2254974|0|1|20
6050|20170114|00105150016|2254974|0||1
6050|20170114|00105151271|2559128|0|1|20
6050|20170114|00105151271|2559128|0||1
6050|20170114|00105147804|2346923|0|1|20
6050|20170114|00105147804|2346923|0||1
6050|20170114|00105151729|703580|0|1|20
6050|20170114|00105151729|703580|0||1
6050|20170114|00105147969|2587854|0||1
6050|20170114|00105147969|2587854|0|1|20
6050|20170114|00105152323|2312334|0|.9|20
6050|20170114|00105152323|2312334|0||1
6050|20170114|00105152323|2277185|0|.1|21
6050|20170114|00105152324|2312334|0|.9|20
6050|20170114|00105152324|2312334|0||1
6050|20170114|00105152324|2277185|0|.1|21
6050|20170114|00105142249|2516748|0|1|20
6050|20170114|00105142249|2516748|0||1
6050|20170114|00105147120|2554085|0|1|20
6050|20170114|00105147120|2554085|0||1
6050|20170114|00105147121|2554085|0||1
6050|20170114|00105147121|2554085|0|1|20
6050|20170114|00105133788|2070627|0|1|20
6050|20170114|00105133788|2070627|0||1
6050|20170114|00105148206|2609509|0|1|20
6050|20170114|00105148206|2609509|0||1
6050|20170114|00105150845|2346923|0|1|20
6050|20170114|00105150845|2346923|0||1
6050|20170114|00105140220|2656843|0|1|20
6050|20170114|00105140220|2656843|0||1
6050|20170114|00105151087|2346923|0|1|20
6050|20170114|00105151087|2346923|0||1
6050|20170114|00105152646|2346923|0|1|20
6050|20170114|00105152646|2346923|0||1
6050|20170114|00105144012|893210|0|1|20
6050|20170114|00105144012|893210|0||1
6050|20170114|00105150602|2346923|0|1|20
6050|20170114|00105150602|2346923|0||1
6050|20170114|00105139222|2382970|0|1|20
6050|20170114|00105139222|2382970|0||1
6050|20170114|00105151297|2030295|0|1|20
6050|20170114|00105151297|2030295|0||1
6050|20170114|00105139600|2346923|0|1|20
6050|20170114|00105139600|2346923|0||1
6050|20170114|00105146529|2602697|0|1|20
6050|20170114|00105146529|2602697|0||1
6050|20170114|00105151376|2030295|0|1|20
6050|20170114|00105151376|2030295|0||1
6050|20170114|00105151969|2511083|0|1|20
