datenquelle|standdatum|offertnummerintern|typ|auspraegung|vertriebspersonid
6050|20170114|00105153691|11|1|1308163
6050|20170114|00105153691|9||1308163
6050|20170114|00105153691|12|1|1308163
6050|20170114|00105153690|11|1|1308162
6050|20170114|00105153690|9||1308162
6050|20170114|00105153690|12|1|1308162
6050|20170114|00105153689|11|1|1308161
6050|20170114|00105153689|9||1308161
6050|20170114|00105153689|12|1|1308161
6050|20170114|00105153688|11|1|1308160
6050|20170114|00105153688|9||1308160
6050|20170114|00105153688|12|1|1308160
6050|20170114|00105153114|11|1|1307523
6050|20170114|00105153114|12|1|1307523
6050|20170114|00105153114|9||1307523
6050|20170114|00105153687|11|1|1308159
6050|20170114|00105153687|12|1|1308159
6050|20170114|00105153686|11|1|1308158
6050|20170114|00105153686|12|1|1308158
6050|20170114|00105153685|11|1|1308157
6050|20170114|00105153685|9||1308157
6050|20170114|00105153685|12|1|1308157
6050|20170114|00105153116|11|1|1307525
6050|20170114|00105153116|12|1|1307525
6050|20170114|00105153116|9||1307525
6050|20170114|00105153684|11|1|1308156
6050|20170114|00105153684|12|1|1308156
6050|20170114|00105153683|11|1|1308155
6050|20170114|00105153683|9||1308155
6050|20170114|00105153683|12|1|1308155
6050|20170114|00105153682|11|1|1308154
6050|20170114|00105153682|12|1|1308154
6050|20170114|00105153682|9||1308154
6050|20170114|00105153681|9||1308153
6050|20170114|00105153681|11|1|1308153
6050|20170114|00105153681|12|1|1308153
6050|20170114|00105153679|11|1|1308151
6050|20170114|00105153679|12|1|1308151
6050|20170114|00105153679|9||1308151
6050|20170114|00105153678|11|1|1308150
6050|20170114|00105153678|9||1308150
6050|20170114|00105153678|12|1|1308150
6050|20170114|00105153677|11|1|1308149
6050|20170114|00105153677|12|1|1308149
6050|20170114|00105153677|9||1308149
6050|20170114|00105153673|11|1|1308145
6050|20170114|00105153673|9||1308145
6050|20170114|00105153673|12|1|1308145
6050|20170114|00105153674|9||1308146
6050|20170114|00105153674|11|1|1308146
6050|20170114|00105153674|12|1|1308146
6050|20170114|00105153675|11|1|1308147
6050|20170114|00105153675|12|1|1308147
6050|20170114|00105153675|9||1308147
6050|20170114|00105153672|11|1|1308144
6050|20170114|00105153672|12|1|1308144
6050|20170114|00105153671|11|1|1308143
6050|20170114|00105153671|9||1308143
6050|20170114|00105153671|12|1|1308143
6050|20170114|00105153670|11|1|1308142
6050|20170114|00105153670|9||1308142
6050|20170114|00105153670|12|1|1308142
6050|20170114|00105153669|11|1|1308141
6050|20170114|00105153669|12|1|1308141
6050|20170114|00105153669|9||1308141
6050|20170114|00105153668|11|1|1308140
6050|20170114|00105153668|9||1308140
6050|20170114|00105153668|12|1|1308140
6050|20170114|00105153667|11|1|1308139
6050|20170114|00105153667|12|1|1308139
6050|20170114|00105153667|9||1308139
6050|20170114|00105150986|9||1305244
6050|20170114|00105150986|11|1|1305244
6050|20170114|00105150986|12|1|1305244
6050|20170114|00105153665|9||1308137
6050|20170114|00105153665|11|1|1308137
6050|20170114|00105153665|12|1|1308137
6050|20170114|00105153666|11|1|1308138
6050|20170114|00105153666|12|1|1308138
6050|20170114|00105153662|11|1|1308134
6050|20170114|00105153662|12|1|1308134
6050|20170114|00105153662|9||1308134
6050|20170114|00105153664|11|1|1308136
6050|20170114|00105153664|9||1308136
6050|20170114|00105153664|12|1|1308136
6050|20170114|00105153663|9||1308135
6050|20170114|00105153663|11|1|1308135
6050|20170114|00105153663|12|1|1308135
6050|20170114|00105153632|9||1308104
6050|20170114|00105153632|11|1|1308104
6050|20170114|00105153632|12|1|1308104
6050|20170114|00105150090|10|1|1304256
6050|20170114|00105150090|11|1|1304256
6050|20170114|00105150090|9||1304256
6050|20170114|00105150090|12|1|1304256
6050|20170114|00105150976|9||1305232
6050|20170114|00105150976|11|1|1305232
6050|20170114|00105150976|12|1|1305232
6050|20170114|00105153661|11|1|1308133
6050|20170114|00105153661|12|1|1308133
6050|20170114|00105153660|11|1|1308132
6050|20170114|00105153660|9||1308132
6050|20170114|00105153660|12|1|1308132
6050|20170114|00105153659|9||1308131
6050|20170114|00105153659|11|1|1308131
6050|20170114|00105153659|12|1|1308131
6050|20170114|00105153658|9||1308130
6050|20170114|00105153658|11|1|1308130
6050|20170114|00105153658|12|1|1308130
6050|20170114|00105153657|9||1308129
6050|20170114|00105153657|11|1|1308129
6050|20170114|00105153657|12|1|1308129
6050|20170114|00105153656|11|1|1308128
6050|20170114|00105153656|9||1308128
6050|20170114|00105153656|12|1|1308128
6050|20170114|00105143336|11|1|1302708
6050|20170114|00105143336|9||1302708
6050|20170114|00105143336|12|1|1302708
6050|20170114|00105153655|11|1|1308127
6050|20170114|00105153655|9||1308127
6050|20170114|00105153655|12|1|1308127
6050|20170114|00105136607|9||1301233
6050|20170114|00105136607|11|1|1301233
6050|20170114|00105136607|12|1|1301233
6050|20170114|00105153654|9||1308126
6050|20170114|00105153654|11|1|1308126
6050|20170114|00105153654|12|1|1308126
6050|20170114|00105148587|11|1|1302505
6050|20170114|00105148587|12|1|1302505
6050|20170114|00105148587|9||1302505
6050|20170114|00105153653|9||1308125
6050|20170114|00105153653|11|1|1308125
6050|20170114|00105153653|12|1|1308125
6050|20170114|00105153652|9||1308124
6050|20170114|00105153652|11|1|1308124
6050|20170114|00105153652|12|1|1308124
6050|20170114|00105153651|9||1308123
6050|20170114|00105153651|11|1|1308123
6050|20170114|00105153651|12|1|1308123
6050|20170114|00105153650|11|1|1308122
6050|20170114|00105153650|12|1|1308122
6050|20170114|00105153649|11|1|1308121
6050|20170114|00105153649|9||1308121
6050|20170114|00105153649|12|1|1308121
6050|20170114|00105136728|9||1302141
6050|20170114|00105136728|11|1|1302141
6050|20170114|00105136728|12|1|1302141
6050|20170114|00105126286|11|1|1278011
6050|20170114|00105126286|12|1|1278011
6050|20170114|00105126286|9||1278011
6050|20170114|00105122099|11|1|1300716
6050|20170114|00105122099|9||1300716
6050|20170114|00105122099|12|1|1300715
6050|20170114|00105153648|11|1|1308120
6050|20170114|00105153648|9||1308120
6050|20170114|00105153648|12|1|1308120
6050|20170114|00105153647|9||1308119
6050|20170114|00105153647|11|1|1308119
6050|20170114|00105153647|12|1|1308119
6050|20170114|00105153646|11|1|1308118
6050|20170114|00105153646|12|1|1308118
6050|20170114|00105153646|9||1308118
6050|20170114|00105153645|11|1|1308117
6050|20170114|00105153645|12|1|1308117
6050|20170114|00105153059|11|1|1307463
6050|20170114|00105153059|12|1|1307463
6050|20170114|00105153059|9||1307463
6050|20170114|00105153644|11|1|1308116
6050|20170114|00105153644|9||1308116
6050|20170114|00105153644|12|1|1308116
6050|20170114|00105153643|11|1|1308115
6050|20170114|00105153643|12|1|1308115
6050|20170114|00105153642|11|1|1308114
6050|20170114|00105153642|9||1308114
6050|20170114|00105153642|12|1|1308114
6050|20170114|00105153641|11|1|1308113
6050|20170114|00105153641|12|1|1308113
6050|20170114|00105153641|9||1308113
6050|20170114|00105153639|11|1|1308111
6050|20170114|00105153639|12|1|1308111
6050|20170114|00105153639|9||1308111
6050|20170114|00105153638|9||1308110
6050|20170114|00105153638|11|1|1308110
6050|20170114|00105153638|12|1|1308110
6050|20170114|00105153640|11|1|1308112
6050|20170114|00105153640|9||1308112
6050|20170114|00105153640|12|1|1308112
6050|20170114|00105153550|9||1308016
6050|20170114|00105153550|11|1|1308016
6050|20170114|00105153550|12|1|1308016
6050|20170114|00105153637|11|1|1308109
6050|20170114|00105153637|12|1|1308109
6050|20170114|00105153637|9||1308109
6050|20170114|00105153636|11|1|1308108
6050|20170114|00105153636|12|1|1308108
6050|20170114|00105153636|9||1308108
6050|20170114|00105153635|11|1|1308107
6050|20170114|00105153635|12|1|1308107
6050|20170114|00105153633|11|1|1308105
6050|20170114|00105153633|12|1|1308105
6050|20170114|00105153633|9||1308105
6050|20170114|00105153634|9||1308106
6050|20170114|00105153634|11|1|1308106
6050|20170114|00105153634|12|1|1308106
6050|20170114|00105153631|11|1|1308103
6050|20170114|00105153631|12|1|1308103
6050|20170114|00105153631|9||1308103
6050|20170114|00105136149|11|1|1293889
6050|20170114|00105136149|9||1293889
6050|20170114|00105136149|12|1|1293889
6050|20170114|00105153630|11|1|1308102
6050|20170114|00105153630|9||1308102
6050|20170114|00105153630|12|1|1308102
6050|20170114|00105153629|11|1|1308101
6050|20170114|00105153629|9||1308101
6050|20170114|00105153629|12|1|1308101
6050|20170114|00105153628|9||1308100
6050|20170114|00105153628|11|1|1308100
6050|20170114|00105153628|12|1|1308100
6050|20170114|00105153627|11|1|1308099
6050|20170114|00105153627|12|1|1308099
6050|20170114|00105153627|9||1308099
6050|20170114|00105153626|11|1|1308098
6050|20170114|00105153626|12|1|1308098
6050|20170114|00105153625|9||1308097
6050|20170114|00105153625|11|1|1308097
6050|20170114|00105153625|12|1|1308097
6050|20170114|00105153624|11|1|1308096
6050|20170114|00105153624|12|1|1308096
6050|20170114|00105153623|11|1|1308095
6050|20170114|00105153623|12|1|1308095
6050|20170114|00105153623|9||1308095
6050|20170114|00105153621|12|1|1308093
6050|20170114|00105153621|11|1|1308093
6050|20170114|00105153621|9||1308093
6050|20170114|00105153621|12|2|1308092
6050|20170114|00105153622|9||1308094
6050|20170114|00105153622|11|1|1308094
6050|20170114|00105153622|12|1|1308094
6050|20170114|00105153620|11|1|1308091
6050|20170114|00105153620|12|1|1308091
6050|20170114|00105132037|9||1308090
6050|20170114|00105132037|11|1|1308090
6050|20170114|00105132037|12|1|1308090
6050|20170114|00105153619|11|1|1308089
6050|20170114|00105153619|12|1|1308089
6050|20170114|00105153618|9||1308088
6050|20170114|00105153618|11|1|1308088
6050|20170114|00105153618|12|1|1308088
6050|20170114|00105153617|11|1|1308087
6050|20170114|00105153617|12|1|1308087
6050|20170114|00105153616|11|1|1308086
6050|20170114|00105153616|12|1|1308086
6050|20170114|00105153615|11|1|1308085
6050|20170114|00105153615|12|1|1308085
6050|20170114|00105153614|9||1308084
6050|20170114|00105153614|11|1|1308084
6050|20170114|00105153614|12|1|1308084
6050|20170114|00105153613|11|1|1308083
6050|20170114|00105153613|12|1|1308083
6050|20170114|00105153612|11|1|1308082
6050|20170114|00105153612|12|1|1308082
6050|20170114|00105153612|9||1308082
6050|20170114|00105153609|9||1308079
6050|20170114|00105153609|11|1|1308079
6050|20170114|00105153609|12|1|1308079
6050|20170114|00105153610|9||1308080
6050|20170114|00105153610|11|1|1308080
6050|20170114|00105153610|12|1|1308080
6050|20170114|00105153611|9||1308081
6050|20170114|00105153611|11|1|1308081
6050|20170114|00105153611|12|1|1308081
6050|20170114|00105153546|11|1|1308012
6050|20170114|00105153546|12|1|1308012
6050|20170114|00105153546|9||1308012
6050|20170114|00105153608|11|1|1308078
6050|20170114|00105153608|12|1|1308078
6050|20170114|00105153607|11|1|1308077
6050|20170114|00105153607|12|1|1308077
6050|20170114|00105153606|11|1|1308076
6050|20170114|00105153606|12|1|1308076
6050|20170114|00105153605|11|1|1308075
6050|20170114|00105153605|9||1308075
6050|20170114|00105153605|12|1|1308075
6050|20170114|00105153604|11|1|1308074
6050|20170114|00105153604|9||1308074
6050|20170114|00105153604|12|1|1308074
6050|20170114|00105153603|11|1|1308073
6050|20170114|00105153603|9||1308073
6050|20170114|00105153603|12|1|1308073
6050|20170114|00105153602|11|1|1308072
6050|20170114|00105153602|12|1|1308072
6050|20170114|00105153601|9||1308071
6050|20170114|00105153601|11|1|1308071
6050|20170114|00105153601|12|1|1308071
6050|20170114|00105153600|11|1|1308070
6050|20170114|00105153600|12|1|1308070
6050|20170114|00105153600|9||1308070
6050|20170114|00105153598|11|1|1308068
6050|20170114|00105153598|12|1|1308068
6050|20170114|00105153598|9||1308068
6050|20170114|00105153599|11|1|1308069
6050|20170114|00105153599|12|1|1308069
6050|20170114|00105129445|11|1|1308067
6050|20170114|00105129445|9||1308067
6050|20170114|00105129445|12|1|1308067
6050|20170114|00105151157|11|1|1305424
6050|20170114|00105151157|9||1305424
6050|20170114|00105151157|12|1|1305424
6050|20170114|00105153597|11|1|1308066
6050|20170114|00105153597|12|1|1308066
6050|20170114|00105153596|11|1|1308065
6050|20170114|00105153596|12|1|1308065
6050|20170114|00105153595|9||1308064
6050|20170114|00105153595|11|1|1308064
6050|20170114|00105153595|12|1|1308064
6050|20170114|00105153594|11|1|1308063
6050|20170114|00105153594|9||1308063
6050|20170114|00105153594|12|1|1308063
6050|20170114|00105153593|11|1|1308062
6050|20170114|00105153593|12|1|1308062
6050|20170114|00105151373|11|1|1305668
6050|20170114|00105151373|12|1|1305668
6050|20170114|00105151373|9||1305668
6050|20170114|00105153591|11|1|1308060
6050|20170114|00105153591|12|1|1308060
6050|20170114|00105153591|9||1308060
6050|20170114|00105153592|11|1|1308061
6050|20170114|00105153592|9||1308061
6050|20170114|00105153592|12|1|1308061
6050|20170114|00105153589|11|1|1308058
6050|20170114|00105153589|12|1|1308058
6050|20170114|00105153589|9||1308058
6050|20170114|00105153590|11|1|1308059
6050|20170114|00105153590|12|1|1308059
6050|20170114|00105153590|9||1308059
6050|20170114|00105153588|11|1|1308057
6050|20170114|00105153588|12|1|1308057
6050|20170114|00105153587|11|1|1308055
6050|20170114|00105153587|12|1|1308055
6050|20170114|00105153586|11|1|1308056
6050|20170114|00105153586|12|1|1308056
6050|20170114|00105153585|11|1|1308054
6050|20170114|00105153585|12|1|1308054
6050|20170114|00105153504|9||1307963
6050|20170114|00105153504|11|1|1307963
6050|20170114|00105153504|12|1|1307963
6050|20170114|00105153584|11|1|1308053
6050|20170114|00105153584|9||1308053
6050|20170114|00105153584|12|1|1308053
6050|20170114|00105153583|11|1|1308052
6050|20170114|00105153583|12|1|1308052
6050|20170114|00105153583|9||1308052
6050|20170114|00105150880|11|1|1305136
