datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170114|110624|2503111|2346923|110624|2503111|2346923|20170113|20170113|20170713|105.153.691|00105153691|2|||20170205|20440205||1|1|0|3300|SLPDP|1|0|0||||Offerte Easy
6050|20170114|109237|2503111|2346923|109237|2503111|2346923|20170113|20170113|20170713|105.153.690|00105153690|2|||20170205|20580105||12|1|0|2400|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|WP82494|2370161|2587462|WP82494|2370161|2587462|20170113|20170113|20170713|105.153.689|00105153689|2|||20170205|20550205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|107334|2503111|2346923|107334|2503111|2346923|20170113|20170113|20170713|105.153.688|00105153688|2|||20170205|20390605||12|1|0|2400|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|TORCHEF|191938|2296213|TORCHEF|191938|2296213|20170113|20170112|20170712|105.153.114|00105153114|4|20170113|20170113|20170205|20360205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|DELI|222431|2296213|DELI|222431|2296213|20170113|20170113|20170211|105.153.687|00105153687|0|||20170205|20510205||1|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|WP810504|2662946|2655210|WP810504|2662946|2655210|20170113|20170113|20170211|105.153.686|00105153686|0|||20170205|20520205||12|1|0|3600|SLPUP|1|0|0||||Offerte Easy
6050|20170114|107351|2503111|2346923|107351|2503111|2346923|20170113|20170113|20170713|105.153.685|00105153685|2|||20170305|20551105||12|1|0|1800|SLPDV3|1|0|0||||AWD Tarifrechner
6050|20170114|TORCHEF|191938|2296213|TORCHEF|191938|2296213|20170113|20170112|20170712|105.153.116|00105153116|4|20170113|20170113|20170201|20370201||0|1|50000|0|SLFNE|1|0|0||||Offerte Easy
6050|20170114|WP810504|2662946|2655210|WP810504|2662946|2655210|20170113|20170113|20170211|105.153.684|00105153684|0|||20170205|20520205||12|1|0|6768|SLPDV1|1|0|0||||Offerte Easy
6050|20170114|111150|2503111|2346923|111150|2503111|2346923|20170113|20170113|20170713|105.153.683|00105153683|2|||20170205|20380205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111150|2503111|2346923|111150|2503111|2346923|20170113|20170113|20170713|105.153.682|00105153682|2|||20170205|20380205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111150|2503111|2346923|111150|2503111|2346923|20170113|20170113|20170713|105.153.681|00105153681|2|||20170205|20340205||12|1|0|1800|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|111150|2503111|2346923|111150|2503111|2346923|20170113|20170113|20170713|105.153.679|00105153679|2|||20170205|20340205||12|1|0|2400|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|SATE|2513127|2296213|SATE|2513127|2296213|20170113|20170113|20170713|105.153.678|00105153678|2|||20170205|20350205||4|1|0|2848|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|SATE|2513127|2296213|SATE|2513127|2296213|20170113|20170113|20170713|105.153.677|00105153677|2|||20170205|20350205||4|1|0|2900|SLPDV3|1|0|0||||Offerte Easy
6050|20170114|RUCJ|2587325|2296213|RUCJ|2587325|2296213|20170113|20170113|20170713|105.153.673|00105153673|2|||20170205|20410205||1|1|0|6768|SLPDV1|1|0|0||||Offerte Easy
6050|20170114|SATE|2513127|2296213|SATE|2513127|2296213|20170113|20170113|20170713|105.153.674|00105153674|2|||20170205|20350205||4|1|0|3900|SLPDP|1|0|0||||Offerte Easy
6050|20170114|SST9|2614354|2296213|SST9|2614354|2296213|20170113|20170113|20170713|105.153.675|00105153675|2|||20170201|20410801||12|1|0|6768|SLFVD1|1|0|0||||Offerte Easy
