datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170114|00105118684|0|1||20560105|0|2353.2|468|20560105|0|XDP3
6050|20170114|00105126624|4|1||20450520|400000|0|0|20170120|0|PKE
6050|20170114|00105128961|0|1||20580405|0|2818.8|495|20580405|0|XDP3
6050|20170114|00105134438|0|1||20471001|0|1003.2|369|20471001|0|FGV
6050|20170114|00105135826|0|1||20340101|0|2307.6|204|20340101|0|ATFP
6050|20170114|00105140800|0|2||20270115|2400|0|0|20170115|0|4I
6050|20170114|00105145812|0|1||20500305|0|1446|398|20500305|0|XDP3
6050|20170114|00105145812|0|2||20500305|0|242.4|374|20480305|0|R1
6050|20170114|00105143969|0|1||20370105|0|2344.8|240|20370105|0|XDP3
6050|20170114|00105146215|16|1||20440520|76118|0|0|20170120|0|PKE
6050|20170114|00105146216|328|1|20170120||0|1393.9|328|20440520|0|LR1ACL
6050|20170114|00105147120|51|1||20450520|300000|0|0|20170220|0|PKE
6050|20170114|00105149207|0|1||20380105|0|4620|252|20380105|0|XDP3
6050|20170114|00105147175|0|2||20270101|3902|0|0|20170101|0|4I
6050|20170114|00105149668|0|1||20570205|0|2354.4|480|20570205|0|XDP3
6050|20170114|00105148004|0|3||20550105|0|406.4|456|20550105|0|40Z
6050|20170114|00105148004|0|2||20550105|0|296.4|432|20530105|0|R2
6050|20170114|00105149450|0|1||20270201|27600|0|0|20170201|0|FGIE
6050|20170114|00105099592|0|1||20491105|0|2258.4|396|20491105|0|XDP3
6050|20170114|00105148287|0|1||20420201|0|1153.8|300|20420201|0|ATFP
6050|20170114|00105149608|0|1||20570405|0|2254.8|482|20570405|0|XDP3
6050|20170114|00105149087|0|1|||0|2739.6|0||0|PRP
6050|20170114|00105150795|0|1||20510405|0|2821.2|410|20510405|0|XDP3
6050|20170114|00105150813|0|1||20390205|0|3384|264|20390205|0|XDP3
6050|20170114|00105149974|0|1||20610205|0|3393.6|528|20610205|0|XDP2
6050|20170114|00105149495|0|2||20620505|0|535.2|519|20600505|0|R1
6050|20170114|00105147317|0|1||20580105|0|178.8|468|20560105|0|R1
6050|20170114|00105147400|0|1||20320105|0|4846.7|180|20320105|0|XDP1
6050|20170114|00105150005|0|1||20460205|0|5607.6|348|20460205|0|XDP1
6050|20170114|00105147883|0|3||20340105|0|1207.2|204|20340105|0|40Z
6050|20170114|00105148763|0|1||20530505|0|391.2|411|20510505|0|R2
6050|20170114|00105150458|4|1||20440520|250000|0|0|20170120|0|PKE
6050|20170114|00105149440|0|1||20330205|0|1868.3|192|20330205|0|XDP1
6050|20170114|00105150489|0|2||20270106|18115|0|0|20170106|0|4I
6050|20170114|00105150687|0|1||20540205|0|4651.2|444|20540205|0|XDP2
6050|20170114|00105150693|0|1||20510205|0|2819.6|408|20510205|0|XDP2
6050|20170114|00105150706|268|1|20170120|20490520|0|1464|268|20390520|0|LR1ACT
6050|20170114|00105150708|0|1||20320205|0|5677.2|180|20320205|0|XDP3
6050|20170114|00105150710|0|2||20520205|0|1816.8|420|20520205|0|XDP3
6050|20170114|00105150711|0|1||20530205|0|458|408|20510205|0|R1
6050|20170114|00105150715|0|1||20530205|0|3524.4|432|20530205|0|XDP2
6050|20170114|00105150716|0|1||20350205|0|2791.2|216|20350205|0|XDP2
6050|20170114|00105150728|0|1||20501005|0|5848.8|403|20501005|0|XDP2
6050|20170114|00105150733|280|1|20170120||0|1567.5|280|20400520|0|LR1ACL
6050|20170114|00105150736|0|1||20600205|0|2528.4|516|20600205|0|XDP2
6050|20170114|00105150739|0|1||20540105|0|1689.6|443|20540105|0|XDP3
6050|20170114|00105150743|0|1||20270201|62830|0|0|20170201|0|FGIE
6050|20170114|00105150753|0|1||20480205|0|6602.2|372|20480205|0|XDP1
6050|20170114|00105136210|0|1||20501205|0|346.8|383|20481205|0|R1
6050|20170114|00105150762|0|1||20500705|0|2467.2|401|20500705|0|XDP3
6050|20170114|00105150764|0|2||20270201|12000|0|0|20170201|0|4I
6050|20170114|00105150765|0|1||20330205|0|1739|192|20330205|0|XDP3
6050|20170114|00105150777|0|1||20561105|0|2054.4|476|20561105|0|XDP3
6050|20170114|00105150697|0|1||20470205|0|6216.6|360|20470205|0|XDP3
6050|20170114|00105150722|72|1|20400201||325000|0|0|20170201|0|LRVAC
6050|20170114|00105150822|0|2||20270201|185366|0|0|20170201|0|FGNE
6050|20170114|00105150823|0|1||20420205|0|15266|300|20420205|0|XUP3
6050|20170114|00105152294|0|2||20270201|47500|0|0|20170201|0|FGNE
6050|20170114|00105152304|0|1||20510805|0|4498.8|414|20510805|0|XDP3
6050|20170114|00105152307|0|1||20430805|0|1761.6|318|20430805|0|XDP3
6050|20170114|00105152318|0|2||20270124|5718|0|0|20170124|0|4N
6050|20170114|00105152320|0|2||20530705|0|667.2|413|20510705|0|R1
6050|20170114|00105152330|0|1||20550305|0|2253.6|456|20550305|0|XDP3
6050|20170114|00105152334|0|1||20470305|0|5193.6|360|20470305|0|XUP2
6050|20170114|00105152867|0|1||20500205|0|1800|396|20500205|0|XDP3
6050|20170114|00105152883|0|1||20490605|0|3499.2|388|20490605|0|XDP3
6050|20170114|00105152902|0|2||20330701|0|2048.4|197|20330701|0|40
6050|20170114|00105152905|0|1||20470205|0|6558.3|360|20470205|0|XDP3
6050|20170114|00105152913|0|1||20330205|0|4905.6|192|20330205|0|XDP1
6050|20170114|00105150881|0|1||20470205|0|2924.4|360|20470205|0|XDP3
6050|20170114|00105150883|0|1||20450205|0|2934.9|336|20450205|0|XDP3
6050|20170114|00105150971|0|1||20540305|0|339.2|420|20520305|0|R1
6050|20170114|00105151335|0|1||20300201|3625|0|0|20170201|0|4N
6050|20170114|00105151336|0|1||20340205|0|3600|204|20340205|0|XUP1
6050|20170114|00105151338|0|1||20450605|0|3522|340|20450605|0|XDP3
6050|20170114|00105152382|0|1||20540305|0|1954.8|444|20540305|0|XDP2
