datenquelle|standdatum|offertnummerintern|vertriebspartnergpnr|fallcode|provisionsanteil|leistungstraegerart
6050|20170128|00105105119|2277820|0| |1
6050|20170128|00105084569|2387725|0|1.0000|20
6050|20170128|00105084569|2387725|0| |1
6050|20170128|00105137152|2277820|0|1.0000|20
6050|20170128|00105137152|2277820|0| |1
6050|20170128|00105114191|2660794|0|1.0000|20
6050|20170128|00105114191|2660794|0| |1
6050|20170128|00105128743|2346923|0|1.0000|20
6050|20170128|00105131788|2509394|0|1.0000|20
6050|20170128|00105083443|2600770|0|1.0000|20
6050|20170128|00105101743|2346923|0|1.0000|20
6050|20170128|00105101743|2346923|0| |1
6050|20170128|00105108126|2346923|0|1.0000|20
6050|20170128|00105108126|2346923|0| |1
6050|20170128|00105128525|2346923|0|1.0000|20
6050|20170128|00105128525|2346923|0| |1
6050|20170128|00105110356|2567681|0| |1
6050|20170128|00105067300|2387968|0| |1
6050|20170128|00105067300|2387968|0|1.0000|20
6050|20170128|00105140243|2369064|0|1.0000|20
6050|20170128|00105115712|2564339|0|1.0000|20
6050|20170128|00105124984|2346923|0|1.0000|20
6050|20170128|00105124984|2346923|0| |1
6050|20170128|00105113059|2346923|0|1.0000|20
6050|20170128|00105113059|2346923|0| |1
6050|20170128|00105109700|1060760|0|1.0000|20
6050|20170128|00105141395|2346923|0|1.0000|20
6050|20170128|00105123573|2346923|0|1.0000|20
6050|20170128|00105123573|2346923|0| |1
6050|20170128|00105141611|2346923|0|1.0000|20
6050|20170128|00105141611|2346923|0| |1
6050|20170128|00105147226|2346923|0|1.0000|20
6050|20170128|00105083460|2346923|0|1.0000|20
6050|20170128|00105083460|2346923|0| |1
6050|20170128|00105136508|2664567|0| |1
6050|20170128|00105141073|2581449|0|1.0000|20
6050|20170128|00105141073|2581449|0| |1
6050|20170128|00105152704|2293600|0| |1
6050|20170128|00105153110|2504361|0|1.0000|20
6050|20170128|00105153110|2504361|0| |1
6050|20170128|00105139994|2322322|0|1.0000|20
6050|20170128|00105139994|2322322|0| |1
6050|20170128|00105130611|2583266|0| |1
6050|20170128|00105141757|2369064|0|1.0000|20
6050|20170128|00105141757|555902|0| |1
6050|20170128|00105149532|2346923|0|1.0000|20
6050|20170128|00105148680|1060760|0|1.0000|20
6050|20170128|00105148680|1060760|0| |1
6050|20170128|00105150189|2666549|0| |1
6050|20170128|00105153858|2619195|0|1.0000|20
6050|20170128|00105130226|2661461|0|1.0000|20
6050|20170128|00105130226|2661461|0| |1
6050|20170128|00105152389|2346923|0|1.0000|20
6050|20170128|00105152389|2346923|0| |1
6050|20170128|00105130581|2346923|0|1.0000|20
6050|20170128|00105130581|2346923|0| |1
6050|20170128|00105148601|2346923|0|1.0000|20
6050|20170128|00105148601|2346923|0| |1
6050|20170128|00105149756|2602697|0| |1
6050|20170128|00105140667|2602697|0|1.0000|20
6050|20170128|00105140667|2602697|0| |1
6050|20170128|00105149301|2382970|0|1.0000|20
