datenquelle|standdatum|offertnummerintern|typ|auspraegung|vertriebspersonid
6050|20170128|00105040265|12|1|1184172
6050|20170128|00105040265|11|1|1184172
6050|20170128|00105040265|9| |1184172
6050|20170128|00105121574|12|1|1272893
6050|20170128|00105121574|11|1|1272893
6050|20170128|00105121574|9| |1272893
6050|20170128|00105128389|12|1|1280289
6050|20170128|00105128389|11|1|1280289
6050|20170128|00105128389|9| |1280289
6050|20170128|00105133820|12|1|1286100
6050|20170128|00105133820|11|1|1286100
6050|20170128|00105133820|9| |1286100
6050|20170128|00105138594|12|1|1291369
6050|20170128|00105138594|11|1|1291369
6050|20170128|00105138594|9| |1291369
6050|20170128|00105138678|12|1|1291457
6050|20170128|00105138678|11|1|1291457
6050|20170128|00105138678|9| |1291457
6050|20170128|00105144506|12|1|1297848
6050|20170128|00105144506|11|1|1297848
6050|20170128|00105144506|9| |1297848
6050|20170128|00105144652|12|1|1298007
6050|20170128|00105144652|11|1|1298007
6050|20170128|00105144652|9| |1298007
6050|20170128|00105148680|12|1|1302632
6050|20170128|00105148680|9| |1302632
6050|20170128|00105148680|11|1|1302632
6050|20170128|00105109700|12|1|1302722
6050|20170128|00105109700|11|1|1302722
6050|20170128|00105109700|9| |1302722
6050|20170128|00105141395|12|1|1302744
6050|20170128|00105141395|9| |1302744
6050|20170128|00105141395|11|1|1302744
6050|20170128|00105148784|12|1|1302783
6050|20170128|00105148784|11|1|1302783
6050|20170128|00105148784|9| |1302783
6050|20170128|00105148786|12|1|1302785
6050|20170128|00105148786|11|1|1302785
6050|20170128|00105148786|9| |1302785
6050|20170128|00105148566|12|1|1302801
6050|20170128|00105148566|9| |1302801
6050|20170128|00105148566|11|1|1302801
6050|20170128|00105148849|12|1|1302861
6050|20170128|00105148849|11|1|1302861
6050|20170128|00105148849|9| |1302861
6050|20170128|00105144177|12|1|1302876
6050|20170128|00105144177|11|1|1302876
6050|20170128|00105144177|9| |1302876
6050|20170128|00105148924|12|1|1302949
6050|20170128|00105148924|11|1|1302949
6050|20170128|00105148924|9| |1302949
6050|20170128|00105141225|12|1|1303182
6050|20170128|00105141225|11|1|1303182
6050|20170128|00105141225|9| |1303182
6050|20170128|00105149424|12|1|1303506
6050|20170128|00105149424|9| |1303506
6050|20170128|00105149424|11|1|1303506
6050|20170128|00105126547|12|1|1303677
6050|20170128|00105126547|9| |1303677
6050|20170128|00105126547|11|1|1303677
6050|20170128|00105153601|12|1|1308071
6050|20170128|00105153601|9| |1308071
6050|20170128|00105153601|11|1|1308071
6050|20170128|00105153692|12|2|1308164
6050|20170128|00105153692|12|1|1308165
6050|20170128|00105153692|9| |1308165
6050|20170128|00105153692|11|1|1308165
6050|20170128|00105145288|12|1|1298705
6050|20170128|00105145288|11|1|1298705
6050|20170128|00105145288|9| |1298705
6050|20170128|00105153694|12|1|1308168
6050|20170128|00105153694|9| |1308168
6050|20170128|00105153694|11|1|1308168
6050|20170128|00105153712|12|1|1308186
6050|20170128|00105153712|11|1|1308186
6050|20170128|00105153712|9| |1308186
6050|20170128|00105153713|12|1|1308187
6050|20170128|00105153713|11|1|1308187
6050|20170128|00105153713|9| |1308187
6050|20170128|00105153715|12|1|1308189
6050|20170128|00105153715|11|1|1308189
6050|20170128|00105153715|9| |1308189
6050|20170128|00105153716|12|1|1308190
6050|20170128|00105153716|11|1|1308190
6050|20170128|00105153716|9| |1308190
6050|20170128|00105153732|12|1|1308206
6050|20170128|00105153732|9| |1308206
6050|20170128|00105153732|11|1|1308206
6050|20170128|00105153748|12|1|1308230
6050|20170128|00105153748|11|1|1308230
6050|20170128|00105153748|9| |1308230
6050|20170128|00105153750|12|1|1308232
6050|20170128|00105153750|11|1|1308232
6050|20170128|00105153750|9| |1308232
6050|20170128|00105153751|12|1|1308233
6050|20170128|00105153751|11|1|1308233
6050|20170128|00105153751|9| |1308233
6050|20170128|00105153752|12|1|1308234
6050|20170128|00105153752|11|1|1308234
6050|20170128|00105153752|9| |1308234
6050|20170128|00105153754|12|1|1308236
6050|20170128|00105153754|11|1|1308236
6050|20170128|00105153754|9| |1308236
6050|20170128|00105153771|12|1|1308254
6050|20170128|00105153771|11|1|1308254
6050|20170128|00105153771|9| |1308254
6050|20170128|00105153771|10|1|1308254
6050|20170128|00105153772|12|1|1308255
6050|20170128|00105153772|11|1|1308255
6050|20170128|00105153772|9| |1308255
6050|20170128|00105153773|12|1|1308256
6050|20170128|00105153773|9| |1308256
6050|20170128|00105153773|11|1|1308256
6050|20170128|00105153774|12|1|1308257
6050|20170128|00105153774|11|1|1308257
6050|20170128|00105153774|9| |1308257
6050|20170128|00105153794|12|1|1308277
6050|20170128|00105153794|9| |1308277
6050|20170128|00105153794|11|1|1308277
6050|20170128|00105153795|12|1|1308278
6050|20170128|00105153795|11|1|1308278
6050|20170128|00105153795|9| |1308278
6050|20170128|00105153796|12|1|1308279
6050|20170128|00105153796|11|1|1308279
6050|20170128|00105153796|9| |1308279
6050|20170128|00105153797|12|1|1308280
6050|20170128|00105153797|11|1|1308280
6050|20170128|00105153797|9| |1308280
6050|20170128|00105107845|12|1|1308306
6050|20170128|00105107845|11|1|1308306
6050|20170128|00105107845|9| |1308306
6050|20170128|00105153816|12|1|1308309
6050|20170128|00105153816|11|1|1308309
6050|20170128|00105153816|9| |1308309
6050|20170128|00105153817|12|1|1308310
6050|20170128|00105153817|9| |1308310
6050|20170128|00105153817|11|1|1308310
6050|20170128|00105153818|12|1|1308311
6050|20170128|00105153818|11|1|1308311
6050|20170128|00105153818|9| |1308311
6050|20170128|00105153833|12|1|1308328
6050|20170128|00105153833|9| |1308328
6050|20170128|00105040270|12|1|1184177
6050|20170128|00105040270|11|1|1184177
6050|20170128|00105040270|9| |1184177
6050|20170128|00105133899|12|1|1286181
6050|20170128|00105133899|11|1|1286181
6050|20170128|00105133899|9| |1286181
6050|20170128|00105114191|12|1|1290644
6050|20170128|00105114191|11|1|1290644
6050|20170128|00105114191|9| |1290644
6050|20170128|00105144143|12|1|1297463
6050|20170128|00105144143|11|1|1297463
6050|20170128|00105144143|9| |1297463
6050|20170128|00105144151|12|1|1297471
6050|20170128|00105144151|11|1|1297471
6050|20170128|00105144151|9| |1297471
6050|20170128|00105144869|12|1|1298253
6050|20170128|00105144869|11|1|1298253
6050|20170128|00105144869|9| |1298253
6050|20170128|00105135652|12|1|1302576
6050|20170128|00105135652|11|1|1302576
6050|20170128|00105135652|9| |1302576
6050|20170128|00105148687|12|1|1302640
6050|20170128|00105148687|11|1|1302640
6050|20170128|00105148687|9| |1302640
6050|20170128|00105148692|12|1|1302645
6050|20170128|00105148692|11|1|1302645
6050|20170128|00105148692|9| |1302645
6050|20170128|00105112951|12|1|1302649
6050|20170128|00105112951|11|1|1302649
6050|20170128|00105112951|9| |1302649
6050|20170128|00105138558|12|1|1302980
6050|20170128|00105138558|11|1|1302980
6050|20170128|00105138558|9| |1302980
6050|20170128|00105138113|12|1|1303186
6050|20170128|00105138113|11|1|1303186
6050|20170128|00105138113|9| |1303186
6050|20170128|00105149198|12|1|1303250
6050|20170128|00105149198|11|1|1303250
6050|20170128|00105149198|9| |1303250
6050|20170128|00105142362|12|1|1303412
6050|20170128|00105142362|11|1|1303412
6050|20170128|00105142362|9| |1303412
6050|20170128|00105149355|12|1|1303429
6050|20170128|00105149355|11|1|1303429
6050|20170128|00105149355|9| |1303429
6050|20170128|00105153580|12|1|1308049
6050|20170128|00105153580|11|1|1308049
6050|20170128|00105153580|9| |1308049
6050|20170128|00105153641|12|1|1308113
6050|20170128|00105153641|11|1|1308113
6050|20170128|00105153641|9| |1308113
6050|20170128|00105153644|12|1|1308116
6050|20170128|00105153644|11|1|1308116
6050|20170128|00105153644|9| |1308116
6050|20170128|00105153695|12|1|1308169
6050|20170128|00105153695|11|1|1308169
6050|20170128|00105153695|9| |1308169
6050|20170128|00105153697|12|1|1308171
6050|20170128|00105153697|11|1|1308171
6050|20170128|00105153697|9| |1308171
6050|20170128|00105153709|12|1|1308183
6050|20170128|00105153709|11|1|1308183
6050|20170128|00105153709|9| |1308183
6050|20170128|00105153711|12|1|1308185
6050|20170128|00105153711|11|1|1308185
6050|20170128|00105153711|9| |1308185
6050|20170128|00105153717|12|1|1308191
6050|20170128|00105153717|9| |1308191
6050|20170128|00105153717|11|1|1308191
6050|20170128|00105153719|12|1|1308193
6050|20170128|00105153719|11|1|1308193
6050|20170128|00105153719|9| |1308193
6050|20170128|00105153728|12|1|1308202
6050|20170128|00105153728|11|1|1308202
6050|20170128|00105153728|9| |1308202
6050|20170128|00105153730|12|1|1308204
6050|20170128|00105153730|11|1|1308204
6050|20170128|00105153730|9| |1308204
6050|20170128|00105153745|12|1|1308227
6050|20170128|00105153745|11|1|1308227
