datenquelle|standdatum|offertnummerintern|erstellerlogin|erstellungsdatum|processconfiguration|produktid|uebersteuerungsid|fehlertext
6050|20170128|00105105783|SVAN|20161212|2|SLPDV3|101121| 
6050|20170128|00105083443|ESFM|20161213|3|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105146587|SVAN|20161227|12|SLATPP|101121| 
6050|20170128|00105135652|ZIFI|20161228|2|SLPDV3|101238| 
6050|20170128|00105148177|TSES|20161229|2|SLPDV3|101238| 
6050|20170128|00105148566|TSES|20161229|2|SLPDV3|101121| 
6050|20170128|00105144177|NAGI|20161230|2|SLPDV3|101121| 
6050|20170128|00105141225|DEBA|20170103|1|SLR40V|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105139403|EAMI|20170103|3|SLPDV6|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105075167|DEBA|20170106|2|SLPDV6|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105144016|DEBA|20170109|2|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105147226|DEBA|20170109|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105083460|DEBA|20170111|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105124474|DEBA|20170111|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105126371|DEBA|20170111|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105141073|ESFM|20170112|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105153212|JABO|20170113|3|SLPUP|101238| 
6050|20170128|00105149637|LEGG|20170113|10|SLPDV1|101238| 
