datenquelle|standdatum|initiantlogin|initiantgpnr|initiantfirmagpnr|erstellerlogin|erstellergpnr|erstellerfirmagpnr|mutationsdatum|erstellungsdatum|gueltigkeitsenddatum|offertnummerextern|offertnummerintern|status|unterzeichnungsdatum|freigabedatum|vertragsbeginn|vertragsende|ersatzgeschaeft|inkassozahlweise|interneabschlusskosten|einmalpraemienetto|jaehrlichepraemie|produktid|provisionierungsfaktor|zuzahlung|praemienproduktion|altvertragsnummer1|altvertragsnummer2|altvertragsnummer3|client_used
6050|20170128|KOTS|2653201|2296213|KOTS|2653201|2296213|2017012|20161129|20161228|105.133.732|00105133732|1| | |20161201|20261201| |0|1.0000|77890.00|0.00|SLFIE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161123|20161222|105.129.402|00105129402|1| | |20161205|20541205| |12|1.0000|0.00|6768.00|SLPDV1|1.0000|6204.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161213|20170111|105.142.959|00105142959|1| | |20170101|20420101| |1|1.0000|0.00|1549.80|SLR40|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161213|20170111|105.142.960|00105142960|1| | |20170105|20410105| |1|1.0000|0.00|6768.00|SLPDV1|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.015|00105143015|1| | |20170101|20440901| |1|1.0000|0.00|658.30|SLR40V|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.020|00105143020|1| | |20170101|20440901| |1|1.0000|0.00|393.30|SLR40V|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.027|00105143027|1| | |20161205|20440905| |1|1.0000|0.00|6374.70|SLPDV2|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.031|00105143031|1| | |20170101|20440901| |1|1.0000|0.00|582.60|SLR40V|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.087|00105143087|1| | |20161205|20440905| |1|1.0000|0.00|6195.30|SLPDV2|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161216|20170114|105.144.702|00105144702|1| | |20170101|20270101| |0|1.0000|30000.00|0.00|SLFIE|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.039|00105143039|1| | |20170101|20440901| |1|1.0000|0.00|575.80|SLR40V|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|SAL7|2654984|2296213|SAL7|2654984|2296213|2017011|20161214|20170112|105.143.048|00105143048|1| | |20161215|20440915| |1|1.0000|0.00|572.70|SLR40V|1.0000|0.00|0| | | |Offerte Easy
6050|20170128|DIVM|2543462|2296213|DIVM|2543462|2296213|2017011|20170112|20170210|105.152.778|00105152778|0| | |20170205|20470205| |1|1.0000|0.00|2850.00|SLPDV3|1.0000|0.00|0|104.134.994| | |Offerte Easy
