datenquelle|standdatum|offertnummerintern|aufschubzeitmonate|laufendenummer|ablaufrueckgewaehr|ablauf|einmalpraemie|jaehrlichepraemie|praemienzahldauermonate|praemienzahlungbis|rabattnachzahlweise|tarifid
6050|20170128|00105040265|0|1| |20260701|50000.00|0.00|0|20160701|0.00|XUPE
6050|20170128|00105124576|0|1| |20491205|0.00|3650.50|396|20491205|0.00|XDP2
6050|20170128|00105099870|0|1| |20541205|0.00|3000.00|456|20541205|0.00|XDP3
6050|20170128|00105133820|0|1| |20540105|0.00|6213.60|444|20540105|0.00|XDP3
6050|20170128|00105137470|0|1| |20391201|0.00|1153.80|276|20391201|0.00|ATXUP2
6050|20170128|00105130226|0|1| |20361205|0.00|2282.50|240|20361205|0.00|XUP2
6050|20170128|00105143536|0|1| |20330105|0.00|9790.90|192|20330105|0.00|XDP1
6050|20170128|00105134557|0|1| |20411205|0.00|2348.40|300|20411205|0.00|XDP3
6050|20170128|00105145908|0|1| |20320105|0.00|6617.10|180|20320105|0.00|XDP3
6050|20170128|00105145923|0|1| |20570105|0.00|1615.20|480|20570105|0.00|XDP1
6050|20170128|00105145924|0|2| |20270101|7860.00|0.00|0|20170101|0.00|4I
6050|20170128|00105145924|0|1| |20270101|90384.00|0.00|0|20170101|0.00|FGIE
6050|20170128|00105149682|0|2| |20270210|97834.00|0.00|0|20170210|0.00|FGIE
6050|20170128|00105149682|0|1| |20270210|8507.00|0.00|0|20170210|0.00|4I
6050|20170128|00105149801|0|2| |20280201|272923.00|0.00|0|20170201|0.00|FGIE
6050|20170128|00105149801|0|1| |20280201|27157.00|0.00|0|20170201|0.00|4I
6050|20170128|00105149860|0|1| |20470105|0.00|3741.60|360|20470105|0.00|XDP2
6050|20170128|00105131070|0|1| |20440805|0.00|1852.80|331|20440805|0.00|XDP1
6050|20170128|00105131070|0|2| |20440805|0.00|392.40|307|20420805|0.00|R1
6050|20170128|00105150124|0|1| |20311201|0.00|5581.20|178|20311201|0.00|FGP
6050|20170128|00105147704|0|1| |20540622|0.00|6768.00|450|20540622|0.00|FGV
6050|20170128|00105150325|0|1| |20330605|0.00|3480.00|196|20330605|0.00|XDP3
6050|20170128|00105150404|0|1| |20500305|0.00|3600.00|396|20500305|0.00|XDP1
6050|20170128|00105126263|0|1| |20461205|0.00|4233.00|360|20461205|0.00|XDP3
6050|20170128|00105150580|0|1| |20180107|0.00|685.70|12|20180107|0.00|42
6050|20170128|00105150653|0|1| |20381005|0.00|1210.80|260|20381005|0.00|XUP2
6050|20170128|00105150778|0|1| |20470120|0.00|1227.40|360|20470120|0.00|40
6050|20170128|00105153601|0|1| |20510705|0.00|2816.40|412|20510705|0.00|XDP3
6050|20170128|00105153692|180|2| |20420205|0.00|238.80|276|20400205|0.00|R81
6050|20170128|00105153692|0|1| |20420205|0.00|1344.00|300|20420205|0.00|XUP2
6050|20170128|00105145288|0|1| |20370105|0.00|5404.30|240|20370105|0.00|XDP3
6050|20170128|00105145288|0|3| |20370105|0.00|430.40|216|20350105|0.00|R2
6050|20170128|00105145288|0|2| |20370105|0.00|410.00|216|20350105|0.00|R1
6050|20170128|00105153694|0|2| |20370205|0.00|5404.30|240|20370205|0.00|XDP3
6050|20170128|00105153694|0|1| |20370205|0.00|430.40|216|20350205|0.00|R2
6050|20170128|00105153694|0|3| |20370205|0.00|410.00|216|20350205|0.00|R1
6050|20170128|00105153712|0|1| |20370201|0.00|2508.00|240|20370201|0.00|FGP
